,class,k,accuracy,precision,recall
164,Guitar,2,0.9907216494845359,0.08333333333333333,0.0125
165,Gun,2,0.9754425879843587,0.24137931034482762,0.012485136741973843
166,Hand,2,0.9845305098913346,0.4144144144144144,0.033601168736303866
167,Hat,2,0.9929621993127146,0.15555555555555553,0.03111111111111111
168,Helicopter,2,0.9785728724479484,0.3398692810457516,0.019992310649750093
169,House,2,0.9803161512027494,0.04444444444444444,0.002962962962962963
170,HumanHead,2,0.9785081867798667,0.3137254901960785,0.018454440599769327
171,Humanoid,2,0.9415768839843183,0.5539906103286381,0.01170402697877404
172,Insect,2,0.9721587004061226,0.24747474747474751,0.011248852157943063
173,Jet,2,0.9414029269699371,0.6503496503496505,0.013643698958384286
174,Knife,2,0.9893443298969072,0.36,0.0432
175,MilitaryVehicle,2,0.9911340206185566,0.25,0.0375
176,Monitor,2,0.99080412371134,0.11666666666666665,0.017499999999999998
177,Monoplane,2,0.9908453608247422,0.13333333333333333,0.019999999999999997
178,Motorcycle,2,0.9891831879460747,0.46153846153846156,0.05325443786982249
179,Mug,2,0.9889154639175257,0.18666666666666665,0.022400000000000003
180,MultiSeat,2,0.9808843069873999,0.27407407407407414,0.018271604938271607
181,Musical_Instrument,2,0.9901030927835053,0.0,0.0
182,NonWheelChair,2,0.9768022492970949,0.29090909090909084,0.015867768595041326
183,PianoBoard,2,0.9920130222463375,0.4385964912280701,0.06925207756232686
184,PlantIndoors,2,0.9723521015067412,0.158974358974359,0.007337278106508876
185,PlantWildNonTree,2,0.9878121420389461,0.07407407407407407,0.008230452674897118
186,Quadruped,2,0.9757352143244712,0.19298245614035087,0.010156971375807941
187,RectangleTable,2,0.9758075601374574,0.22222222222222224,0.011695906432748539
188,Rocket,2,0.9910103092783507,0.19999999999999998,0.03
189,RoundTable,2,0.9859278350515462,0.14583333333333331,0.013671875
190,Shelf,2,0.9831879460745439,0.20512820512820518,0.01577909270216963
191,Ship,2,0.973528433654804,0.13440860215053763,0.006503642039542142
192,Sign,2,0.9930486008836527,0.023809523809523808,0.00510204081632653
193,Skyscraper,2,0.9907216494845359,0.08333333333333333,0.0125
194,Spoon,2,0.9917525773195877,0.16666666666666666,0.027777777777777776
195,Starship,2,0.9862986365147993,0.12903225806451613,0.012486992715920912
196,SubmachineGun,2,0.9910515463917523,0.21666666666666665,0.03250000000000001
197,Sword,2,0.9782394924662962,0.37179487179487186,0.02144970414201184
198,Tool,2,0.982927835051546,0.2666666666666667,0.020000000000000007
199,Train,2,0.9874013508709565,0.2413793103448276,0.024970273483947678
200,Tree,2,0.9799193186911698,0.050724637681159424,0.003308128544423441
201,Truck,2,0.9880870561282933,0.18518518518518517,0.0205761316872428
202,TruckNonContainer,2,0.9914053174172546,0.19298245614035084,0.030470914127423823
203,Vase,2,0.9911448724905048,0.08771929824561403,0.013850415512465374
204,Violin,2,0.9918762886597939,0.55,0.0825
205,Wheel,2,0.992577319587629,0.16666666666666666,0.03125
206,WheelChair,2,0.9910515463917526,0.21666666666666665,0.032499999999999994
207,AircraftBuoyant,3,0.9922680412371133,0.15625,0.0390625
208,Apartment,3,0.9894657919400185,0.056818181818181816,0.010330578512396695
209,AquaticAnimal,3,0.9871880554568074,0.2413793103448276,0.0332936979785969
210,Bed,3,0.9879190530736921,0.21296296296296297,0.031550068587105615
211,Bicycle,3,0.9893100713719268,0.5096153846153846,0.07840236686390531
212,Biplane,3,0.9803986254295531,0.18333333333333332,0.016296296296296295
213,Bird,3,0.9805435801312093,0.10227272727272728,0.009297520661157023
214,Bookset,3,0.9921237113402063,0.6125,0.12250000000000001
215,Bottle,3,0.986258729630861,0.20967741935483872,0.027055150884495307
216,BuildingNonResidential,3,0.9809829777031888,0.11046511627906977,0.010275824770146023
217,Bus,3,0.9905979381443301,0.15,0.03
218,Car,3,0.9636176194939072,0.4715909090909091,0.021435950413223145
219,Cellphone,3,0.9906890938686921,0.05263157894736842,0.0110803324099723
220,Chess,3,0.9835268583830712,0.2565789473684211,0.027008310249307475
221,City,3,0.9880412371134019,0.125,0.019230769230769225
222,ClassicPiano,3,0.9906804123711342,0.175,0.034999999999999996
223,Computer,3,0.9863642611683854,0.11666666666666667,0.015555555555555553
224,ComputerKeyboard,3,0.9912989690721649,0.3625,0.07250000000000001
225,Cup,3,0.9874608629247803,0.07407407407407407,0.010973936899862825
226,DeskLamp,3,0.9861523112736946,0.1774193548387097,0.022892819979188343
227,DeskPhone,3,0.9902680412371134,0.05,0.01
228,Door,3,0.9815391992327975,0.27906976744186046,0.025959978366684698
229,Drum,3,0.9909495387954421,0.13157894736842105,0.027700831024930747
230,Fish,3,0.9913402061855671,0.375,0.075
231,FloorLamp,3,0.9873081328751431,0.027777777777777776,0.004115226337448559
232,Glasses,3,0.9903917525773197,0.0875,0.017499999999999998
233,Guitar,3,0.9903505154639178,0.075,0.015
234,Gun,3,0.9752150728759328,0.23706896551724138,0.016349583828775268
235,Hand,3,0.9843633324045697,0.38513513513513514,0.041636230825420006
236,Hat,3,0.992549828178694,0.11666666666666667,0.03111111111111111
237,Helicopter,3,0.9783869011522129,0.3235294117647059,0.025374855824682817
238,House,3,0.9800137457044674,0.06666666666666667,0.005925925925925926
239,HumanHead,3,0.9783707297351925,0.31862745098039214,0.024990388312187622
240,Humanoid,3,0.9415826920284586,0.5422535211267606,0.015274747073993258
241,Insect,3,0.9719337706966573,0.24242424242424243,0.014692378328741958
242,Jet,3,0.9414980895393276,0.6416083916083916,0.017947087877157826
243,Knife,3,0.9891298969072166,0.33,0.052800000000000014
244,MilitaryVehicle,3,0.9908865979381444,0.2375,0.0475
245,Monitor,3,0.9903917525773197,0.0875,0.017499999999999998
246,Monoplane,3,0.990474226804124,0.1125,0.0225
247,Motorcycle,3,0.9890880253766853,0.4423076923076923,0.06804733727810651
248,Mug,3,0.9886020618556703,0.17,0.0272
249,MultiSeat,3,0.9805819014891178,0.2388888888888889,0.02123456790123457
